Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
4I1.DE,Philip Morris International Inc.,86.35,-0.30,-0.35%,672,557,135.504B,16.70
W8V.F,Bank of China Limited,0.3611,-0.0052,-1.42%,"49,878","17,492",134.827B,3.61
SIE.F,Siemens Aktiengesellschaft,165.74,+2.40,+1.47%,"6,450","3,076",132.161B,22.10
5UR.F,Raytheon Technologies Corporation,89.02,-0.38,-0.43%,20,181,130.622B,26.73
TOTB.DE,TotalEnergies SE,53.77,-0.27,-0.50%,"29,061","31,608",130.592B,6.95
SIEB.F,Siemens Aktiengesellschaft,81.00,0.00,0.00%,15,2,130.247B,21.43
TOTB.F,TotalEnergies SE,53.58,-0.12,-0.22%,"7,370","2,351",130.131B,6.97
TOTA.F,TotalEnergies SE,53.50,+0.50,+0.94%,150,48,129.937B,6.89
QCI.F,QUALCOMM Incorporated,113.38,+0.24,+0.21%,792,322,127.687B,13.21
QCI.DE,QUALCOMM Incorporated,113.14,-1.12,-0.98%,"3,002","1,935",126.168B,13.11
ALD.DE,Honeywell International Inc.,185.02,+0.94,+0.51%,178,234,124.355B,26.10
ALD.F,Honeywell International Inc.,185.16,+0.08,+0.04%,"2,649",792,123.776B,25.93
BRM.DE,Bristol-Myers Squibb Company,58.90,-0.70,-1.17%,"1,104",678,123.74B,18.24
ALDB.F,Honeywell International Inc.,16.60,0.00,0.00%,N/A,0,123.723B,2.28
BRM.F,Bristol-Myers Squibb Company,58.80,-0.90,-1.51%,415,368,123.68B,18.26
TRVC.DE,Citigroup Inc.,43.92,-1.32,-2.92%,348,"6,532",86.421B,6.62
RYC.F,Royal Bank of Canada,86.28,+0.14,+0.16%,320,26,121.289B,12.20
BCO.DE,The Boeing Company,201.35,-0.35,-0.17%,"3,371","2,630",121.131B,N/A
AEC1.F,American Express Company,157.85,-4.75,-2.92%,12,143,120.836B,18.40
AEC1.DE,American Express Company,158.10,-4.70,-2.89%,327,640,120.267B,18.28
BCO.F,The Boeing Company,199.00,-2.10,-1.04%,139,300,119.717B,N/A
UNVB.F,Unilever PLC,47.20,+0.98,+2.12%,"4,245","4,881",119.136B,15.79
BCO0.F,The Boeing Company,26.40,-0.60,-2.22%,N/A,0,118.258B,N/A
SNW.F,Sanofi,94.40,-0.22,-0.23%,730,"1,065",117.893B,14.03
SNW.DE,Sanofi,94.33,+0.31,+0.33%,728,"3,696",117.806B,14.21
UNVB.DE,Unilever PLC,46.73,+0.29,+0.64%,"23,761","18,817",117.598B,15.63
CRA1.F,Rio Tinto Group,73.15,-0.41,-0.56%,780,258,117.548B,10.13
MHL.F,S&P Global Inc.,363.40,+1.60,+0.44%,237,22,117.401B,47.38
SNW2.F,Sanofi,47.00,0.00,0.00%,4,5,117.394B,14.16
MHL.DE,S&P Global Inc.,363.50,+1.50,+0.41%,220,42,117.368B,47.15
UNVA.F,Unilever PLC,46.40,+0.20,+0.43%,"1,100",92,117.167B,15.47
CAT1.DE,Caterpillar Inc.,226.00,-2.00,-0.88%,187,469,116.694B,20.11
YCP.DE,ConocoPhillips,96.06,+1.15,+1.21%,9,207,116.549B,8.39
LWE.F,"Lowe's Companies, Inc.",198.38,-0.72,-0.36%,3,18,116.277B,20.24
ITU.DE,Intuit Inc.,412.85,+0.45,+0.11%,187,69,115.958B,56.55
GOS.DE,"The Goldman Sachs Group, Inc.",312.40,-4.40,-1.39%,62,348,103.857B,12.01
IBM0.MU,International Business Machines Corporation,14.80,0.00,0.00%,500,50,115.476B,6.95
CAT1.F,Caterpillar Inc.,223.00,-1.00,-0.45%,37,178,115.145B,20.02
GOS.F,"The Goldman Sachs Group, Inc.",311.60,-5.20,-1.64%,10,201,103.591B,11.85
IBM.DE,International Business Machines Corporation,126.60,-1.25,-0.98%,"2,494","6,241",114.958B,60.87
UNP.F,Union Pacific Corporation,187.00,+0.35,+0.19%,301,982,114.787B,17.36
IBM0.F,International Business Machines Corporation,14.70,-0.10,-0.68%,1,26,114.695B,6.97
UNP.DE,Union Pacific Corporation,187.65,0.00,0.00%,194,212,114.573B,17.49
IBM.F,International Business Machines Corporation,125.95,-1.05,-0.83%,704,984,114.521B,60.85
ITU.F,Intuit Inc.,408.55,-5.00,-1.21%,10,13,114.431B,55.21
YCP.F,ConocoPhillips,94.43,-2.59,-2.67%,15,173,114.266B,7.96
CHL.F,China Life Insurance Company Limited,1.5710,+0.0030,+0.19%,450,"1,444",113.963B,7.86
SON1.F,Sony Group Corporation,90.95,-1.45,-1.57%,927,611,112.746B,18.30
SONA.F,Sony Group Corporation,90.00,-1.50,-1.64%,10,72,112.666B,17.79
PZX.F,"Ping An Insurance (Group) Company of China, Ltd.",6.10,0.00,0.00%,100,"3,496",112.508B,8.97
7A2S.F,AIA Group Limited,38.20,0.00,0.00%,3,0,112.466B,424.44
7A2.F,AIA Group Limited,9.42,-0.08,-0.83%,"1,600",146,111.531B,471.05
KEE.F,Keyence Corporation,459.70,-11.00,-2.34%,41,50,111.489B,47.39
SLL.SG,Schoeller-Bleckmann Oilfield Equipment AG,53.20,-0.60,-1.12%,355,28,105.339B,N/A
