Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
17. Dez 2009,Delisted (Privatplatzierung),Universal Outdoor Group PLC, Medien,None,None," € 4,20 "," € 12.316.004,40"
04. Dez 2009,Delisted (Notierungsaufnahme),Dineout SA Ltd., -kein-,None,None," € 1,90 "," € 7.600.000,00"
03. Dez 2009,Delisted (Privatplatzierung),CDG Packaging Holding AG, -kein-,None,None," € 2,80 "," € 700.000,00"
02. Dez 2009,Delisted (Notierungsaufnahme),Worldlink Group PLC, -kein-,None,None," € 0,04 "," € 35.000.000,00"
01. Dez 2009,Delisted (Notierungsaufnahme),Anglo African Minerals PLC, -kein-,None,None," € 1,90 "," € 48.674.224,00"
27. Nov 2009,Delisted (Notierungsaufnahme),Primex Oil Production Inc., -kein-,None,None," € 2,05 "," € 307.602.500,00"
27. Nov 2009,Delisted (Notierungsaufnahme),Hail First Pharma Inc., -kein-,None,None," € 2,05 "," € 308.545.500,00"
24. Nov 2009,Delisted (Notierungsaufnahme),MI Media Holdings Ltd., -kein-,None,None," € 1,40 "," € 32.200.000,00"
12. Nov 2009,Delisted (Privatplatzierung),Agroton Public Ltd., -kein-,None,None," € 7,02 "," € 84.240.000,00"
10. Nov 2009,Delisted (Privatplatzierung),ECO Supplies Europe AB, -kein-,None,None," € 1,50 "," € 8.021.700,00"
09. Nov 2009,Delisted (Notierungsaufnahme),Curcas Oil N.V., -kein-,None,None," € 0,08 "," € 8.400.000,00"
09. Nov 2009,Delisted (Notierungsaufnahme),Initation Enterprises Company Ltd., -kein-,None,None," € 0,20 "," € 600.000,00"
09. Nov 2009,Delisted (Notierungsaufnahme),Blue Planet Environmental Inc., -kein-,None,None," € 1,40 "," € 51.103.972,00"
22. Okt 2009,Delisted (Transfer),zooplus AG, Handel,None,None,None,None
19. Okt 2009,Delisted (Privatplatzierung),BVE Holding SE, -kein-,None,None," € 1,80 "," € 450.000,00"
13. Okt 2009,Delisted (Notierungsaufnahme),Emission & Power Solutions Plc, -kein-,None,None," € 1,00 "," € 20.000.000,00"
12. Okt 2009,Delisted (Privatplatzierung),U.S. Debt Settlement Inc., -kein-,None,None," € 0,44 "," € 17.600.000,00"
09. Okt 2009,Delisted (Privatplatzierung),Virtual Piggy Inc., -kein-,None,None," € 1,50 "," € 59.082.414,00"
07. Okt 2009,Delisted (Notierungsaufnahme),OMtv Communications Inc., -kein-,None,None," € 1,00 "," € 461.000,00"
01. Okt 2009,Delisted (Neuemission),Vtion Wireless Technology AG, Technologie," € 10,75 "," € 171.785.000,00"," € 10,75 "," € 171.785.000,00"
07. Sep 2009,Delisted (Notierungsaufnahme),Philand Ranch Ltd., -kein-,None,None," € 3,75 "," € 93.224.250,00"
01. Sep 2009,Basic Board (Notierungsaufnahme),MPH Mittelständische Pharma Holding AG, Pharma & Gesundheit,None,None," € 1,01 "," € 38.430.500,00"
18. Aug 2009,Delisted (Notierungsaufnahme),Hollywood Classics Network Inc., -kein-,None,None," € 0,50 "," € 1.391.550,00"
12. Aug 2009,Delisted (Notierungsaufnahme),Focused Money Solutions S.A., -kein-,None,None," € 2,00 "," € 23.150.000,00"
31. Jul 2009,Delisted (Notierungsaufnahme),Wi-Sky Inflight Inc., -kein-,None,None," € 7,50 "," € 75.000.000,00"
30. Jun 2009,Scale (Neuemission),flatex AG (FinTech Group AG), Finanzdienstleistung," € 4,40 "," € 40.920.000,00"," € 4,40 "," € 40.920.000,00"
18. Jun 2009,Delisted (Notierungsaufnahme),Noninvasive Medical Technologies Inc., -kein-,None,None," € 3,65 "," € 39.168.150,00"
16. Jun 2009,Delisted (Privatplatzierung),Pyrolyx AG, -kein-,None,None," € 7,00 "," € 1.750.000,00"
29. Mai 2009,Delisted (Notierungsaufnahme),MedX Ltd., -kein-,None,None," € 1,60 "," € 32.000.000,00"
29. Mai 2009,Delisted (Notierungsaufnahme),United States Oil & Gas Corp., -kein-,None,None," € 1,00 "," € 39.782.000,00"
08. Mai 2009,Delisted (Notierungsaufnahme),enexoma AG, -kein-,None,None," € 200,00 "," € 52.000.000,00"
30. Apr 2009,Delisted (Neuemission),"HepaHope, Inc.", -kein-," € 1,68 "," € 118.581.995,30"," € 1,68 "," € 118.581.995,30"
30. Apr 2009,Prime Standard (Transfer),YOC AG, Telekommunikation,None,None,None,None
01. Apr 2009,Delisted (Privatplatzierung),Alternative Petroleum Technologies S.A., -kein-,None,None," € 5,50 "," € 137.500.000,00"
25. Mär 2009,Delisted (Notierungsaufnahme),Fonds Direkt Portfolio Management AG, -kein-,None,None," € 24,00 "," € 2.400.000,00"
11. Mär 2009,Delisted (Notierungsaufnahme),ENRO Energie SE, -kein-,None,None," € 1,50 "," € 13.695.000,00"
09. Mär 2009,Delisted (Notierungsaufnahme),Deep Space Media Group AG, -kein-,None,None," € 1,40 "," € 35.000.000,00"
04. Mär 2009,Delisted (Notierungsaufnahme),Vitascanning AG, -kein-,None,None," € 7,80 "," € 15.600.000,00"
24. Feb 2009,Delisted (Notierungsaufnahme),Nexis Holdings PLC, -kein-,None,None," € 0,22 "," € 345.834.398,00"
23. Feb 2009,Delisted (Notierungsaufnahme),Global Investment & Exploration AG, -kein-,None,None," € 0,10 "," € 5.000.000,00"
16. Feb 2009,Delisted (Notierungsaufnahme),Hilbroy Advisory Inc., -kein-,None,None," € 0,60 "," € 270.000.000,00"
16. Feb 2009,Delisted (Notierungsaufnahme),Regio Capital AG, -kein-,None,None," € 3,00 "," € 900.000,00"
16. Feb 2009,Delisted (Notierungsaufnahme),Knado Inc., -kein-,None,None," € 0,01 "," € 1.000.000,00"
13. Feb 2009,Delisted (Notierungsaufnahme),FilmOn.com PLC, -kein-,None,None," € 0,30 "," € 315.000.300,00"
10. Feb 2009,Delisted (Privatplatzierung),Sunseeker Energy Holding AG, -kein-,None,None," € 1,55 "," € 1.025.675.388,00"
10. Feb 2009,Delisted (Notierungsaufnahme),vPE WertpapierhandelsBank AG, Finanzdienstleistung,None,None," € 10,00 "," € 7.300.000,00"
10. Feb 2009,Delisted (Notierungsaufnahme),icon fashion holding AG, -kein-,None,None," € 4,00 "," € 20.000.000,00"
05. Feb 2009,Delisted (Notierungsaufnahme),El Alto Holdings AG, -kein-,None,None," € 3,50 "," € 140.000.000,00"
27. Jan 2009,Delisted (Notierungsaufnahme),Genesis Invest AG, -kein-,None,None," € 2,00 "," € 40.000.000,00"
23. Jan 2009,Delisted (Notierungsaufnahme),Leon Mining AG, -kein-,None,None," € 2,00 "," € 20.000.000,00"
21. Jan 2009,Delisted (Notierungsaufnahme),Logana Holding AG, -kein-,None,None," € 4,80 "," € 19.200.000,00"
19. Jan 2009,Delisted (Privatplatzierung),Cash Raider AG, -kein-,None,None," € 0,10 "," € 5.000.000,00"
19. Jan 2009,Delisted (Notierungsaufnahme),Meditor Pharmaceuticals [North American] Ltd., -kein-,None,None," € 0,65 "," € 444.015,00"
16. Jan 2009,Delisted (Notierungsaufnahme),Capital Hill Plc, -kein-,None,None," € 1,75 "," € 87.500.000,00"
14. Jan 2009,Delisted (Notierungsaufnahme),CFQ Holding AG, -kein-,None,None," € 1,15 "," € 69.000.000,00"
30. Dez 2008,Delisted (Notierungsaufnahme),Ecotrade Invest AG, -kein-,None,None," € 1,00 "," € 50.000.000,00"
29. Dez 2008,Delisted (Notierungsaufnahme),Machinery & Industrial Group N.V., -kein-,None,None," € 20,00 "," € 100.000.000,00"
22. Dez 2008,Delisted (Notierungsaufnahme),Helvetia Asset Management AG, -kein-,None,None," € 1,05 "," € 42.000.000,00"
22. Dez 2008,Delisted (Notierungsaufnahme),Arqueonautas Worldwide - Arqueologia Subaquatica S.A., -kein-,None,None," € 2,60 "," € 13.000.000,00"
18. Dez 2008,Delisted (Notierungsaufnahme),Skidproof International Ltd., -kein-,None,None," € 0,28 "," € 12.413.649,00"
17. Dez 2008,Delisted (Notierungsaufnahme),Concorde Group Inc., -kein-,None,None," € 8,40 "," € 135.025.027,00"
11. Dez 2008,Delisted (Notierungsaufnahme),Hulbee AG, -kein-,None,None," € 3,08 "," € 246.400.000,00"
08. Dez 2008,Basic Board (Notierungsaufnahme),HMS Bergbau AG, Industrie,None,None," € 9,50 "," € 14.250.000,00"
