Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
ICA.F,Orica Limited,9.60,0.00,0.00%,120,0,4.388B,24.62
LYI.F,Lynas Rare Earths Limited,4.6005,+0.1785,+4.04%,"8,100","7,218",4.374B,12.78
1AL.F,Alamos Gold Inc.,11.02,-0.30,-2.65%,"5,331","1,364",4.351B,52.48
OB8.F,PT Barito Pacific Tbk,0.0340,0.0000,0.00%,"38,039",0,4.342B,N/A
LYIC.F,Lynas Rare Earths Limited,4.5600,+0.0800,+1.79%,"1,905",586,4.31B,12.32
NS7.SG,Northern Star Resources Limited,8.39,+0.49,+6.20%,0,188,5.215B,36.01
LIS.F,Liontown Resources Limited,1.9420,+0.0610,+3.24%,114,"9,804",4.273B,N/A
PLQ.F,Element Solutions Inc,17.30,0.00,0.00%,30,0,4.236B,26.62
5BG.F,B2Gold Corp.,3.2460,-0.0100,-0.31%,100,"2,618",4.221B,14.75
HTR.F,Huntsman Corporation,23.20,0.00,0.00%,200,0,4.208B,17.31
AHT.F,Ashland Inc.,78.00,-0.50,-0.64%,20,0,4.1B,18.93
UCM.F,Buzzi S.p.A.,21.80,-0.70,-3.11%,80,24,4.086B,8.72
BL9B.F,Balchem Corporation,122.70,-0.20,-0.16%,4,6,3.959B,43.36
ZVL.F,Zhaojin Mining Industry Company Limited,1.2400,+0.0400,+3.33%,500,623,4.03B,124.00
CQWA.SG,Companhia Siderúrgica Nacional,2.4800,+0.0400,+1.64%,0,8,3.198B,3.46
XT3B.F,PT Vale Indonesia Tbk,0.3900,+0.0060,+1.56%,"70,000","2,393",3.938B,19.50
WE7.F,Evolution Mining Limited,2.0900,+0.0810,+4.03%,"1,800","1,123",3.864B,19.00
4FZ.F,"Orbia Advance Corporation, S.A.B. de C.V.",1.9900,-0.0500,-2.45%,"4,999",264,3.795B,10.47
JMT2.F,Johnson Matthey Plc,19.95,-0.31,-1.53%,56,69,3.712B,11.88
7SU.F,"Summit Materials, Inc.",31.00,-0.20,-0.64%,2,0,3.684B,14.29
TOS.F,Tosoh Corporation,11.20,0.00,0.00%,60,9,3.65B,6.96
4QT1.F,HEXPOL AB (publ),10.33,+0.01,+0.10%,110,21,3.628B,16.66
UG9.F,NewMarket Corporation,370.00,-2.00,-0.54%,1,0,3.602B,12.26
CBT.F,Cabot Corporation,63.00,-5.00,-7.35%,20,0,3.564B,12.40
OJI.F,Oji Holdings Corporation,3.5200,0.0000,0.00%,15,15,3.558B,8.59
CQWA.F,Companhia Siderúrgica Nacional,2.5400,+0.0400,+1.60%,46,203,3.407B,N/A
PY9.F,Avient Corporation,36.00,-0.60,-1.64%,200,3,3.317B,90.00
KAP0.F,"Kansai Paint Co., Ltd.",6.85,-0.35,-4.86%,N/A,0,3.365B,21.41
GNV.F,Angang Steel Company Limited,0.2440,-0.0180,-6.87%,"15,531",196,3.365B,N/A
KAP.F,"Kansai Paint Co., Ltd.",13.80,-0.20,-1.43%,67,2,3.287B,20.91
KST.F,"Kobe Steel, Ltd.",8.20,-0.10,-1.20%,10,145,3.284B,9.11
I5P.F,Incitec Pivot Limited,1.6895,+0.0290,+1.75%,"2,000",55,3.281B,6.76
HB1.F,H.B. Fuller Company,60.50,+0.50,+0.83%,12,0,3.257B,21.76
ILZ.F,Iluka Resources Limited,7.49,+0.04,+0.54%,150,5,3.204B,9.60
SCQA.F,The Scotts Miracle-Gro Company,56.36,-1.24,-2.15%,80,11,3.191B,N/A
QUC.F,Quaker Chemical Corporation,176.00,+1.00,+0.57%,52,0,3.165B,N/A
OUW0.F,Capstone Copper Corp.,4.2200,+0.0800,+1.93%,500,219,3.152B,60.29
WUC1.F,Lithium Americas Corp.,19.43,+0.34,+1.78%,155,911,3.114B,N/A
