Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
CVLC.MU,Vale SA,13.50,-0.08,-0.59%,220,283,N/A,N/A
KB2.HM,Matsa Resources Ltd,0.0155,0.0000,0.00%,"10,000",0,N/A,N/A
NGLB.HM,Anglo American PLC,29.82,-0.20,-0.67%,60,25,N/A,N/A
HQK.MU,Boral Ltd,2.5400,-0.0200,-0.78%,540,48,N/A,N/A
HF2.MU,Reflex Advanced Materials Corp,0.2380,-0.0020,-0.83%,"5,000",248,N/A,N/A
RU8.HM,Renascor Resources Ltd,0.1030,0.0000,0.00%,"1,000",17,N/A,N/A
6460.HA,Bolt Metals Corp,0.3000,-0.1300,-30.23%,N/A,0,N/A,N/A
S0D.MU,Stanmore Resources Ltd,1.6700,+0.0600,+3.73%,"1,000",17,N/A,N/A
H0Q.MU,China Hongqiao Group Ltd,0.7370,+0.0086,+1.18%,"1,250",22,N/A,N/A
7GB0.MU,Golden Minerals Co,2.1930,-0.0545,-2.42%,400,16,N/A,N/A
9SC.BE,Manganese X Energy Corp,0.0992,-0.0004,-0.40%,"33,333",0,N/A,N/A
7S2.MU,Scotch Creek Ventures Inc,0.0995,0.0000,0.00%,"1,300",157,N/A,N/A
S08.BE,PT Steel Pipe Industry of Indonesia Tbk,0.0135,0.0000,0.00%,0,0,N/A,N/A
FMK.MU,Ecograf Ltd,0.1050,0.0000,0.00%,"10,000","1,428",N/A,N/A
INFA.MU,SciDev Ltd,0.1850,0.0000,0.00%,10,6,N/A,N/A
ALM.BE,Golden Rim Resources Ltd,0.0180,0.0000,0.00%,"50,000",892,N/A,N/A
5AM.BE,Hastings Technology Metals Ltd,0.7970,+0.0730,+10.08%,"6,200",110,N/A,N/A
UR2.BE,Orosur Mining Inc,0.0350,-0.0005,-1.41%,400,0,N/A,N/A
R9XN.BE,Xtract Resources PLC,0.0155,0.0000,0.00%,"10,000",0,N/A,N/A
E6Q.HM,Gold Road Resources Ltd,1.0850,+0.0400,+3.83%,"7,800",0,N/A,N/A
5DE0.SG,York Harbour Metals Inc,0.1260,-0.0010,-0.79%,0,"12,880",N/A,N/A
K8J.SG,Big Red Mining Corp,0.0195,0.0000,0.00%,0,290,N/A,N/A
5P0.MU,Global Helium Corp,0.1740,0.0000,0.00%,"5,000",0,N/A,N/A
32JP.MU,Jaguar Mining Inc,1.4600,-0.0100,-0.68%,"1,000",53,N/A,N/A
7SU.MU,Summit Materials Inc,31.60,0.00,0.00%,"1,000",17,N/A,N/A
3CC.BE,Canasil Resources Inc,0.0060,0.0000,0.00%,"1,500",0,N/A,N/A
V4JA.MU,Starcore International Mines Ltd,0.1040,0.0000,0.00%,"2,192",530,N/A,N/A
TPT.MU,Teck Resources Ltd,40.00,0.00,0.00%,5,12,N/A,N/A
5KA0.MU,First Uranium Resources Ltd,0.0875,0.0000,0.00%,700,31,N/A,N/A
RKQ.MU,Regis Resources Ltd,1.2065,+0.0270,+2.29%,"1,000",125,N/A,N/A
SZG.MU,Salzgitter AG,35.40,+0.06,+0.17%,26,41,N/A,N/A
EIS.MU,Eisen- und Huettenwerke AG,11.00,0.00,0.00%,8,32,N/A,N/A
9I0.SG,Advance United Holdings Inc,0.0220,+0.0090,+69.23%,0,"8,995",N/A,N/A
ENUS.F,Stora Enso Oyj,12.00,-0.20,-1.64%,50,0,N/A,N/A
2BC.MU,Gold Lion Resources Inc,0.0605,0.0000,0.00%,"20,000",0,N/A,N/A
YQGB.MU,Iconic Minerals Ltd,0.0680,0.0000,0.00%,"48,826",0,N/A,N/A
UDM.MU,Taseko Mines Ltd,1.3470,0.0000,0.00%,"6,000",107,N/A,N/A
REZ.MU,Global Battery Metals Ltd,0.1200,0.0000,0.00%,"7,100",126,N/A,N/A
6GX.MU,Nevada Zinc Corp,0.0265,0.0000,0.00%,"15,000",303,N/A,N/A
8PR1.MU,Soma Gold Corp,0.3560,0.0000,0.00%,"2,030",280,N/A,N/A
ZS2.MU,TimkenSteel Corp,17.70,0.00,0.00%,N/A,0,N/A,N/A
7TV.MU,Zacatecas Silver Corp,0.2480,-0.0030,-1.20%,"3,600",457,N/A,N/A
LQPA.MU,Lupaka Gold Corp,0.0650,0.0000,0.00%,"20,000",357,N/A,N/A
6MR1.MU,Kuya Silver Corp,0.2780,0.0000,0.00%,"1,000",0,N/A,N/A
OMH2.MU,Lumina Gold Corp,0.3860,0.0000,0.00%,"10,000",178,N/A,N/A
U7N1.MU,Canada Carbon Inc,0.0235,0.0000,0.00%,"5,000",0,N/A,N/A
OU5A.MU,Avalon Advanced Materials Inc,0.1050,+0.0266,+33.93%,"1,000",214,N/A,N/A
YXEP.MU,Quebec Precious Metals Corp,0.0750,0.0000,0.00%,"20,000",364,N/A,N/A
GVL1.F,GoldStone Resources Ltd,0.0195,-0.0050,-20.41%,4,0,N/A,N/A
7Z00.MU,Nobel Resources Corp,0.0195,0.0000,0.00%,"11,000",198,N/A,N/A
WR0.MU,Western Resources Corp,0.1910,0.0000,0.00%,"5,000",0,N/A,N/A
G12.MU,Global Atomic Corp,2.0780,0.0000,0.00%,"1,000",35,N/A,N/A
XYD.MU,Minco Silver Corp,0.1380,0.0000,0.00%,800,14,N/A,N/A
409.MU,Sierra Madre Gold And Silver Ltd,0.2940,+0.0100,+3.52%,500,0,N/A,N/A
3LI.MU,Regulus Resources Inc,0.6150,-0.0050,-0.81%,"4,636",261,N/A,N/A
5E8.MU,Prospect Resources Ltd,0.0694,0.0000,0.00%,"20,000",0,N/A,N/A
8M0.MU,BMEX Gold Inc,0.0305,0.0000,0.00%,"15,000","1,262",N/A,N/A
FEX.MU,Ferrexpo PLC,1.0620,0.0000,0.00%,750,"1,254",N/A,N/A
SC1P.SG,Skyharbour Resources Ltd,0.2665,-0.0080,-2.91%,0,"3,998",N/A,N/A
7JR.MU,Northam Platinum Holdings Ltd,7.50,0.00,0.00%,100,0,N/A,N/A
8GCA.MU,Glencore PLC,10.90,0.00,0.00%,100,132,N/A,N/A
PKW.BE,Polyplex (Thailand) PCL,0.3400,-0.0080,-2.30%,"3,000",0,N/A,N/A
CSUA.MU,Corbion NV,25.80,+0.28,+1.10%,15,0,N/A,N/A
MUJ.BE,Mitsubishi Materials Corp,16.50,-0.10,-0.60%,20,0,N/A,N/A
8GCA.MU,Glencore PLC,10.90,0.00,0.00%,100,132,N/A,N/A
PKW.BE,Polyplex (Thailand) PCL,0.3400,-0.0080,-2.30%,"3,000",0,N/A,N/A
ZVL.MU,Zhaojin Mining Industry Co Ltd,1.2400,+0.0100,+0.81%,250,111,N/A,N/A
FG1.BE,Antofagasta PLC,18.36,+0.17,+0.91%,300,0,N/A,N/A
G12.MU,Global Atomic Corp,2.0780,0.0000,0.00%,"1,000",35,N/A,N/A
XYD.MU,Minco Silver Corp,0.1380,0.0000,0.00%,800,14,N/A,N/A
ND3.MU,Northern Dynasty Minerals Ltd,0.2020,0.0000,0.00%,"5,000",137,N/A,N/A
409.MU,Sierra Madre Gold And Silver Ltd,0.2940,+0.0100,+3.52%,500,0,N/A,N/A
P4XA.MU,Canada Rare Earth Corp,0.0315,0.0000,0.00%,"8,500",151,N/A,N/A
5E8.MU,Prospect Resources Ltd,0.0694,0.0000,0.00%,"20,000",0,N/A,N/A
8M0.MU,BMEX Gold Inc,0.0305,0.0000,0.00%,"15,000","1,262",N/A,N/A
FEX.MU,Ferrexpo PLC,1.0620,0.0000,0.00%,750,"1,254",N/A,N/A
ARRD.BE,ArcelorMittal SA,25.70,-0.19,-0.75%,15,9,N/A,N/A
KD0.MU,First Phosphate Corp,0.3560,0.0000,0.00%,300,"1,470",N/A,N/A
S600.MU,Outback Goldfields Corp,0.0520,0.0000,0.00%,"1,800",0,N/A,N/A
BUR.MU,PT Bumi Resources Minerals Tbk,0.0105,0.0000,0.00%,"10,000",0,N/A,N/A
BL9B.MU,Balchem Corp,125.10,0.00,0.00%,30,0,N/A,N/A
H1Q.MU,China BlueChemical Ltd,0.2180,0.0000,0.00%,"10,001",0,N/A,N/A
KEM.BE,Kemira Oyj,16.01,-0.16,-0.99%,25,0,N/A,N/A
B4Z.MU,Base Resources Ltd,0.1080,0.0000,0.00%,N/A,0,N/A,N/A
GVL1.F,GoldStone Resources Ltd,0.0195,-0.0050,-20.41%,4,0,N/A,N/A
WR0.MU,Western Resources Corp,0.1910,0.0000,0.00%,"5,000",0,N/A,N/A
NWF.MU,Western Forest Products Inc,0.7360,0.0000,0.00%,50,0,N/A,N/A
G3MN.MU,GMV Minerals Inc,0.1070,-0.0100,-8.55%,"10,000",753,N/A,N/A
3WF.F,GreenRoc Mining PLC,0.0490,-0.0055,-10.09%,"5,000","2,053",N/A,N/A
7N20.MU,EnviroMetal Technologies Inc,0.0255,-0.0035,-12.07%,"15,000",0,N/A,N/A
4Z9.MU,P2 Gold Inc,0.1370,0.0000,0.00%,"14,000",0,N/A,N/A
D4R.MU,Romios Gold Resources Inc,0.0220,0.0000,0.00%,"8,750",0,N/A,N/A
F1YN.MU,Lundin Gold Inc,10.82,-0.40,-3.57%,500,14,N/A,N/A
TEZ.SG,Tessenderlo Group NV,29.95,+0.20,+0.67%,0,3,N/A,N/A
I93A.SG,Indorama Ventures PCL,0.8700,-0.0150,-1.69%,0,0,N/A,N/A
PKW.SG,Polyplex (Thailand) PCL,0.3400,-0.0060,-1.73%,0,0,N/A,N/A
HGR.SG,Anglo Pacific Group PLC,1.3740,-0.0180,-1.29%,0,97,N/A,N/A
XT3B.SG,PT Vale Indonesia Tbk,0.3720,-0.0060,-1.59%,0,123,N/A,N/A
8XJ.SG,African Gold Ltd,0.0360,-0.0005,-1.37%,0,"6,325",N/A,N/A
BN5.SG,Bezant Resources PLC,0.0005,0.0000,0.00%,"600,000","34,821",N/A,N/A
SUR.HA,Surteco Group SE,19.80,+0.30,+1.54%,75,0,N/A,N/A
WCH.HA,Wacker Chemie AG,121.05,-0.15,-0.12%,25,19,N/A,N/A
BOU1.SG,Bougainville Copper Ltd,0.2110,0.0000,0.00%,0,"1,367",N/A,N/A
F1B.BE,Lhyfe SA,6.97,+0.01,+0.14%,760,0,N/A,N/A
A2V5.F,Gold Bull Resources Corp,0.0350,+0.0002,+0.57%,"6,000",339,N/A,N/A
2P0N.SG,PT Petrosea Tbk,0.2160,-0.0080,-3.57%,0,0,N/A,N/A
SEH.SG,Shin-Etsu Chemical Co Ltd,31.60,+0.40,+1.28%,0,70,N/A,N/A
AHS.BE,Admiralty Resources NL,0.0015,+0.0005,+50.00%,"3,020",0,N/A,N/A
E5S1.BE,Atalaya Mining PLC,3.6400,0.0000,0.00%,360,0,N/A,N/A
8KT.MU,Desert Control AS,1.0340,-0.1000,-8.82%,620,14,N/A,N/A
RU8.HM,Renascor Resources Ltd,0.1030,0.0000,0.00%,"1,000",17,N/A,N/A
RKQ.HM,Regis Resources Ltd,1.2000,+0.0420,+3.63%,"2,000",0,N/A,N/A
HLI.MU,Nicola Mining Inc,0.0980,-0.0010,-1.01%,"1,000",17,N/A,N/A
O08.MU,HPQ Silicon Inc,0.1430,0.0000,0.00%,"15,000",0,N/A,N/A
S2Z.HM,Sandfire Resources Ltd,3.8770,+0.1420,+3.80%,400,0,N/A,N/A
O6M.MU,Orvana Minerals Corp,0.1120,-0.0010,-0.88%,500,8,N/A,N/A
H3N.HM,Lithium Ionic Corp,1.8300,+0.0100,+0.55%,100,0,N/A,N/A
48M.MU,Foran Mining Corp,2.3000,+0.0400,+1.77%,"8,264",0,N/A,N/A
NE0.MU,Nexa Resources SA,5.05,0.00,0.00%,250,0,N/A,N/A
A4E1.MU,Almaden Minerals Ltd,0.1155,0.0000,0.00%,"4,000",71,N/A,N/A
1EC.MU,Venator Materials PLC,0.0250,-0.0020,-7.41%,"1,000",21,N/A,N/A
NYJ.F,Ironveld PLC,0.0015,-0.0005,-25.00%,"1,275",22,N/A,N/A
GQQ.MU,Eco Oro Minerals Corp,0.0180,0.0000,0.00%,350,0,N/A,N/A
7S2.MU,Scotch Creek Ventures Inc,0.0995,0.0000,0.00%,"1,300",157,N/A,N/A
1DP.BE,Elkem ASA,2.3040,-0.0540,-2.29%,"5,000",89,N/A,N/A
GHO.MU,Adbri Ltd,1.5200,0.0000,0.00%,N/A,0,N/A,N/A
SAT.MU,Saga Pure ASA,0.1224,0.0000,0.00%,"1,000",17,N/A,N/A
UDE0.MU,Arizona Lithium Ltd,0.0280,0.0000,0.00%,"29,000",0,N/A,N/A
KGHA.BE,KGHM Polska Miedz SA,26.86,+0.25,+0.94%,100,0,N/A,N/A
QOL.MU,SOL SpA,25.35,-0.30,-1.17%,150,22,N/A,N/A
C05.MU,Cinis Fertilizer AB,3.6300,-0.0100,-0.27%,N/A,0,N/A,N/A
CEY2.MU,Huabao International Holdings Ltd,0.3700,0.0000,0.00%,"2,000",35,N/A,N/A
2N6.MU,Labrador Gold Corp,0.1290,+0.0065,+5.31%,"2,300",41,N/A,N/A
KIN2.MU,Kinross Gold Corp,4.4880,-0.0160,-0.36%,25,301,N/A,N/A
RQQ.MU,OceanaGold Corp,1.9345,-0.0630,-3.15%,"1,120",111,N/A,N/A
9SC.BE,Manganese X Energy Corp,0.0992,-0.0004,-0.40%,"33,333",0,N/A,N/A
9BR2.BE,BonTerra Resources Inc,0.1730,-0.0045,-2.54%,"1,500",0,N/A,N/A
2BC.MU,Gold Lion Resources Inc,0.0605,0.0000,0.00%,"20,000",0,N/A,N/A
YQGB.MU,Iconic Minerals Ltd,0.0680,0.0000,0.00%,"48,826",0,N/A,N/A
UDM.MU,Taseko Mines Ltd,1.3470,0.0000,0.00%,"6,000",107,N/A,N/A
0UV.MU,Univar Solutions Inc,32.80,-0.40,-1.20%,790,0,N/A,N/A
7TV.MU,Zacatecas Silver Corp,0.2480,-0.0030,-1.20%,"3,600",457,N/A,N/A
LQPA.MU,Lupaka Gold Corp,0.0650,0.0000,0.00%,"20,000",357,N/A,N/A
6MR1.MU,Kuya Silver Corp,0.2780,0.0000,0.00%,"1,000",0,N/A,N/A
2R7.MU,Azelis Group NV,22.82,-0.02,-0.09%,"1,000",0,N/A,N/A
NMAA.MU,Newcrest Mining Ltd,16.30,0.00,0.00%,150,10,N/A,N/A
07K.MU,PT Krakatau Steel (Persero) Tbk,0.0205,0.0000,0.00%,"3,000",0,N/A,N/A
PYV.MU,Pacific Metals Co Ltd,10.50,-0.10,-0.94%,25,116,N/A,N/A
IAL.BE,Iamgold Corp,2.5520,+0.0060,+0.24%,900,16,N/A,N/A
E6Q.HM,Gold Road Resources Ltd,1.0850,+0.0400,+3.83%,"7,800",0,N/A,N/A
D7N.BE,CMOC Group Ltd,0.5158,+0.0106,+2.10%,60,4,N/A,N/A
TLD.BE,Tinka Resources Ltd,0.0970,0.0000,0.00%,"90,000",0,N/A,N/A
FU7.MU,Shougang Fushan Resources Group Ltd,0.2340,+0.0040,+1.74%,"7,000",0,N/A,N/A
WCQ1.BE,Sinofert Holdings Ltd,0.1170,-0.0010,-0.85%,"6,000",107,N/A,N/A
CSUA.MU,Corbion NV,25.80,+0.28,+1.10%,15,0,N/A,N/A
NI7.MU,Nippon Paint Holdings Co Ltd,8.25,0.00,0.00%,300,0,N/A,N/A
0VW.MU,Hoffmann Green Cement Technologies,9.91,+0.37,+3.88%,54,0,N/A,N/A
M3C.MU,Mitsubishi Chemical Group Corp,5.41,0.00,0.00%,"5,950",106,N/A,N/A
E7T.BE,Alexium International Group Ltd,0.0085,0.0000,0.00%,"12,500",0,N/A,N/A
PKJ2.BE,Rusoro Mining Ltd,0.1510,-0.0010,-0.66%,"10,500",0,N/A,N/A
RE8.BE,Amerigo Resources Ltd,1.0480,+0.0220,+2.14%,"1,500",0,N/A,N/A
MMPI.BE,Champion Iron Ltd,3.9300,0.0000,0.00%,948,0,N/A,N/A
K8J.SG,Big Red Mining Corp,0.0195,0.0000,0.00%,0,290,N/A,N/A
8XJ.SG,African Gold Ltd,0.0360,-0.0005,-1.37%,0,"6,325",N/A,N/A
E47.SG,Falcon Metals Ltd,0.1358,+0.0082,+6.43%,0,"1,551",N/A,N/A
TEZ.SG,Tessenderlo Group NV,29.95,+0.20,+0.67%,0,3,N/A,N/A
I93A.SG,Indorama Ventures PCL,0.8700,-0.0150,-1.69%,0,0,N/A,N/A
PKW.SG,Polyplex (Thailand) PCL,0.3400,-0.0060,-1.73%,0,0,N/A,N/A
HGR.SG,Anglo Pacific Group PLC,1.3740,-0.0180,-1.29%,0,97,N/A,N/A
NVP5.SG,Tipco Asphalt PCL,0.4700,+0.0020,+0.43%,0,0,N/A,N/A
5TT.SG,Treatt PLC,8.20,+0.10,+1.23%,0,3,N/A,N/A
ITP.SG,PT Indocement Tunggal Prakarsa Tbk,0.5450,-0.0100,-1.80%,0,0,N/A,N/A
N7R.MU,Noram Lithium Corp,0.4160,-0.0220,-5.02%,"3,650",65,N/A,N/A
UDM.BE,Taseko Mines Ltd,1.3270,+0.0300,+2.31%,300,23,N/A,N/A
IZ1.BE,First Quantum Minerals Ltd,22.59,+1.28,+6.03%,100,0,N/A,N/A
GPE.MU,Gr Silver Mining Ltd,0.0532,-0.0036,-6.34%,"20,000","4,485",N/A,N/A
601A.MU,AmmPower Corp,0.0734,+0.0012,+1.66%,300,298,N/A,N/A
S5L.BE,Standard Lithium Corp,3.8840,+0.0140,+0.36%,"4,500",457,N/A,N/A
XT3B.SG,PT Vale Indonesia Tbk,0.3720,-0.0060,-1.59%,0,123,N/A,N/A
7JL.SG,Balkan Mining and Minerals Ltd,0.1250,+0.0100,+8.70%,0,517,N/A,N/A
7ZG.SG,Askari Metals Ltd,0.1690,-0.0030,-1.74%,0,"4,254",N/A,N/A
ACE1.SG,Acerinox SA,10.14,-0.02,-0.25%,0,3,N/A,N/A
C8MQ.MU,Hannan Metals Ltd,0.1725,+0.0120,+7.48%,"1,000",245,N/A,N/A
M4K.MU,Newfoundland Discovery Corp,0.0350,0.0000,0.00%,"3,000",0,N/A,N/A
V4S.SG,Vesuvius PLC,4.7700,-0.2500,-4.98%,0,17,N/A,N/A
SEH.SG,Shin-Etsu Chemical Co Ltd,31.60,+0.40,+1.28%,0,70,N/A,N/A
DAG.SG,Dacian Gold Ltd,0.0500,+0.0005,+1.01%,0,"1,228",N/A,N/A
6ME.SG,Metro Mining Ltd,0.0106,+0.0006,+6.00%,0,0,N/A,N/A
ZGV3.SG,Gevo Inc,1.4050,-0.0395,-2.73%,0,145,N/A,N/A
G6R.BE,Geopacific Resources Ltd,0.0150,0.0000,0.00%,"6,000",0,N/A,N/A
V6Y.MU,Targa Exploration Corp,0.3000,+0.1040,+53.06%,"1,000",0,N/A,N/A
AUB.SG,Lepidico Ltd,0.0070,-0.0001,-1.41%,0,"59,740",12.253M,N/A
NVP5.BE,Tipco Asphalt PCL,0.4940,+0.0040,+0.82%,"1,000",0,N/A,N/A
HETA.SG,KHD Humboldt Wedag Industrial Services AG,9.10,0.00,0.00%,0,0,N/A,N/A
CRA1.SG,Rio Tinto Ltd,74.72,+1.22,+1.66%,75,76,N/A,N/A
EIS.SG,Eisen- und Huettenwerke AG,10.50,+0.40,+3.96%,0,35,N/A,N/A
ND5.BE,Nitto Denko Corp,70.00,+0.50,+0.72%,207,0,N/A,N/A
AK4.F,GCC SAB de CV,8.15,-0.05,-0.61%,N/A,0,N/A,N/A
35S.F,Shanta Gold Ltd,0.1010,-0.0020,-1.94%,"14,000",978,N/A,N/A
HAM1.DU,Harmony Gold Mining Co Ltd,4.1500,+0.0100,+0.24%,2,8,N/A,N/A
TLW.MU,Timeless Software Ltd,0.0025,-0.0005,-16.67%,500,"1,430",N/A,N/A
67K.F,Critical Metals PLC,0.2600,0.0000,0.00%,"5,400","1,212",N/A,N/A
COQA.SG,Copper Mountain Mining Corp,1.8000,+0.0700,+4.05%,"1,939",532,N/A,N/A
ENUA.MU,Stora Enso Oyj,12.35,-0.50,-3.89%,150,2,N/A,N/A
K4L.BE,Nevada Sunrise Metals Corp,0.0640,0.0000,0.00%,N/A,0,N/A,N/A
HT9.BE,Lithiumbank Resources Corp,0.9950,+0.0050,+0.51%,"2,000",35,N/A,N/A
GLN.BE,Glatfelter Corp,2.7220,-0.0580,-2.09%,"3,000",0,N/A,N/A
NVRA.BE,URU Metals Ltd,1.6800,0.0000,0.00%,446,0,N/A,N/A
7BF.MU,Royal Bafokeng Platinum Ltd,6.70,+0.05,+0.75%,490,0,N/A,N/A
EY3.MU,Century Aluminum Co,9.05,-0.04,-0.46%,70,6,N/A,N/A
14S.MU,Sulliden Mining Capital Inc,0.0295,0.0000,0.00%,"6,000",0,N/A,N/A
3JE.MU,Scandinavian Biogas Fuels International AB,1.7220,0.0000,0.00%,"2,000",0,N/A,N/A
YQGB.BE,Iconic Minerals Ltd,0.0640,-0.0038,-5.60%,"5,000",0,N/A,N/A
XL5.DU,Latin Resources Ltd,0.1198,0.0000,0.00%,N/A,0,N/A,N/A
1YK.MU,Pacific Empire Minerals Corp,0.0140,0.0000,0.00%,"2,000","2,239",N/A,N/A
TR3.MU,Vanadium Resources Ltd,0.0545,-0.0005,-0.91%,"20,000","10,051",N/A,N/A
GOG.HM,Afrika Gold AG,0.5400,0.0000,0.00%,35,65,N/A,N/A
T5X.MU,Tronox Holdings PLC,11.60,+0.10,+0.87%,266,0,N/A,N/A
MLN.MU,Mineral Hill Industries Ltd,0.0745,0.0000,0.00%,250,4,N/A,N/A
48X.MU,Summa Silver Corp,0.3580,-0.0010,-0.28%,500,8,N/A,N/A
AM1.MU,Argosy Minerals Ltd,0.2782,-0.0046,-1.63%,9,232,N/A,N/A
5RJ.MU,Core Assets Corp,0.1630,-0.0105,-6.05%,"8,000",142,N/A,N/A
HAM.HA,Harmony Gold Mining Co Ltd,4.1400,-0.0200,-0.48%,N/A,0,N/A,N/A
WL3P.BE,Fort St James Nickel Corp,0.0735,-0.0005,-0.68%,"2,500",0,N/A,N/A
P1J1.BE,Playfair Mining Ltd,0.0195,-0.0035,-15.22%,100,0,N/A,N/A
AOD1.BE,Anglogold Ashanti Ltd,22.10,-0.10,-0.45%,12,0,N/A,N/A
HEI.BE,HeidelbergCement AG,71.80,-1.36,-1.86%,181,23,N/A,N/A
8N6.MU,Triumph Gold Corp,0.0905,-0.0085,-8.59%,"3,000",53,N/A,N/A
IAH.MU,International Lithium Corp,0.0296,+0.0030,+11.28%,"19,500",0,N/A,N/A
KIN2.HA,Kinross Gold Corp,4.4060,-0.0560,-1.26%,190,21,N/A,N/A
KAP.HA,Kansai Paint Co Ltd,13.80,-0.20,-1.43%,N/A,0,N/A,N/A
VAS.HA,voestalpine AG,32.70,-0.56,-1.68%,8,0,N/A,N/A
3RI.MU,Turmalina Metals Corp,0.2100,+0.0270,+14.75%,251,40,N/A,N/A
8LN.MU,Loma Negra Cia Industria Argentina SA,5.85,0.00,0.00%,"1,000",0,N/A,N/A
N82.MU,Silverfish Resources Inc,0.1330,+0.0170,+14.66%,N/A,0,N/A,N/A
RTZ.MU,Pan African Resources PLC,0.1530,-0.0032,-2.05%,"9,000",160,N/A,N/A
FZA.MU,Focus Minerals Ltd,0.1200,0.0000,0.00%,"5,000",0,N/A,N/A
GIH.MU,Gold Resource Corp,0.7200,-0.0050,-0.69%,700,48,N/A,N/A
TMSA.MU,Transatlantic Mining Corp,0.0450,+0.0095,+26.76%,"10,000",0,N/A,N/A
3FNA.MU,Adriatic Metals PLC,1.7900,0.0000,0.00%,200,30,N/A,N/A
G6T2.MU,Goldex Resources Corp,0.0505,-0.0105,-17.21%,"12,000","1,126",N/A,N/A
N3Y.MU,Nine Dragons Paper (Holdings) Ltd,0.5450,+0.0050,+0.93%,"6,000",107,N/A,N/A
MPO.MU,Michelmersh Brick Holdings PLC,1.0900,0.0000,0.00%,100,0,N/A,N/A
8RE.MU,International Battery Metals Ltd,0.6150,-0.0050,-0.81%,"1,000",0,N/A,N/A
FG1.HA,Antofagasta PLC,18.37,+0.19,+1.02%,400,0,N/A,N/A
9SC.MU,Manganese X Energy Corp,0.1080,-0.0050,-4.42%,"7,500",151,N/A,N/A
FVJA.MU,Fortescue Metals Group Ltd,27.40,+0.20,+0.74%,230,4,N/A,N/A
PI8.MU,Newcore Gold Ltd,0.1060,-0.0010,-0.93%,"6,801",0,N/A,N/A
PGW.HA,Liberty Gold Corp,0.2900,+0.0125,+4.50%,"6,000",0,N/A,N/A
9CD1.HA,Caledonia Mining Corp PLC,11.40,-0.60,-5.00%,100,1,N/A,N/A
BNF.MU,BillerudKorsnas AB,7.39,-0.22,-2.94%,390,7,N/A,N/A
WUC1.HA,Lithium Americas Corp,19.12,-0.22,-1.16%,100,0,N/A,N/A
FVJ.MU,Fortescue Metals Group Ltd,14.09,+0.03,+0.25%,380,189,N/A,N/A
M3D.HM,Industrie De Nora spa,20.02,-0.26,-1.28%,5,0,N/A,N/A
FZA.BE,Focus Minerals Ltd,0.1130,-0.0005,-0.44%,130,0,N/A,N/A
MXR.BE,Mawson Gold Ltd,0.1160,+0.0060,+5.45%,"1,000",172,N/A,N/A
7WV.BE,Green Shift Commodities Ltd,0.0626,-0.0002,-0.32%,"2,000",60,N/A,N/A
A2V5.BE,Gold Bull Resources Corp,0.0402,0.0000,0.00%,"2,000","1,178",N/A,N/A
G4O.BE,Quadro Resources Ltd,0.0150,0.0000,0.00%,N/A,0,N/A,N/A
SUR.BE,Surteco Group SE,19.80,+0.30,+1.54%,80,0,N/A,N/A
GRR.BE,Grange Resources Ltd,0.3294,+0.0114,+3.58%,"7,000",0,N/A,N/A
CZB.BE,Changmao Biochemical Engineering Co Ltd,0.1100,-0.0040,-3.51%,"18,000","1,714",N/A,N/A
IKP.BE,PT Indah Kiat Pulp & Paper Corp Tbk,0.4600,-0.0180,-3.77%,150,0,N/A,N/A
2OY.MU,Dow Inc,48.59,+0.04,+0.08%,100,1,N/A,N/A
K1W.MU,Kronos Worldwide Inc,8.20,-0.15,-1.80%,"1,200",0,N/A,N/A
1CO1.SG,Covestro AG,20.00,+0.30,+1.52%,0,21,N/A,N/A
HT4.BE,Hudson Technologies Inc,8.40,-0.20,-2.33%,300,201,N/A,N/A
FMQ.MU,FMC Corp,97.14,0.00,0.00%,5,0,N/A,N/A
XQN.BE,Core Molding Technologies Inc,17.40,-0.40,-2.25%,115,3,N/A,N/A
58I1.MU,Intrepid Potash Inc,19.81,0.00,0.00%,284,0,N/A,N/A
58I1.BE,Intrepid Potash Inc,19.77,+0.16,+0.82%,50,0,N/A,N/A
ECJ.BE,Ecolab Inc,164.95,-0.20,-0.12%,1,0,N/A,N/A
TEKB.SG,Teck Resources Ltd,39.36,-0.29,-0.73%,100,226,N/A,N/A
DLY.MU,LyondellBasell Industries NV,83.60,0.00,0.00%,26,0,N/A,N/A
SII.HA,Wheaton Precious Metals Corp,40.60,+0.35,+0.87%,200,0,N/A,N/A
WFC.MU,West Fraser Timber Co.Ltd,72.92,0.00,0.00%,5,0,N/A,N/A
DG3.MU,Celanese Corp,106.60,-1.40,-1.30%,40,0,N/A,N/A
AHT.SG,Ashland Inc,78.00,+0.50,+0.65%,0,0,N/A,N/A
AP3.BE,Air Products & Chemicals Inc,265.00,-1.30,-0.49%,3,3,N/A,N/A
AVJ.SG,American Vanguard Corp,15.64,-0.21,-1.32%,0,5,N/A,N/A
AE9.MU,Agnico Eagle Mines Ltd,46.07,+0.06,+0.13%,19,8,N/A,N/A
6NNA.SG,Golden Independence Mining Corp,0.2440,+0.0020,+0.83%,0,448,N/A,N/A
UTN.DU,Unitika Ltd,1.5600,+0.0300,+1.96%,500,0,N/A,N/A
VTM.DU,Altius Minerals Corp,14.84,-0.36,-2.37%,50,0,N/A,N/A
