Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
PRU.F,Prudential plc,13.20,+0.10,+0.76%,1,70,37.687B,40.00
LLD.F,Lloyds Banking Group plc,0.5300,+0.0100,+1.92%,"18,900","5,223",34.612B,5.89
PA9.DE,"The Travelers Companies, Inc.",160.40,0.00,0.00%,1,3,37.431B,14.37
AINN.F,"American International Group, Inc.",51.45,+0.15,+0.29%,20,72,37.237B,6.88
AINN.DE,"American International Group, Inc.",51.40,0.00,0.00%,3,136,37.201B,6.96
CRIP.F,UniCredit S.p.A.,9.30,-0.05,-0.53%,220,6,36.951B,4.31
LLD.DE,Lloyds Banking Group plc,0.5260,-0.0060,-1.13%,"55,851","51,183",34.351B,5.84
PA9.F,"The Travelers Companies, Inc.",160.00,+0.40,+0.25%,4,3,36.956B,14.56
OCBA.F,Oversea-Chinese Banking Corporation Limited,8.60,+0.08,+0.96%,"3,500",169,38.886B,7.05
3HM.DE,MSCI Inc.,450.40,+5.10,+1.15%,88,57,36.469B,44.82
LLD2.F,Lloyds Banking Group plc,2.0200,0.0000,0.00%,"10,000",480,34.536B,5.32
PRU.DE,Prudential plc,13.10,-0.20,-1.50%,777,587,36.067B,37.43
CI9.F,CITIC Securities Company Limited,1.7200,0.0000,0.00%,218,0,36.021B,9.05
3HM.F,MSCI Inc.,444.10,-3.90,-0.87%,45,69,35.667B,43.41
MZ8.F,"Mizuho Financial Group, Inc.",13.48,+0.02,+0.19%,159,15,35.041B,9.23
MZ8A.F,"Mizuho Financial Group, Inc.",2.7000,-0.0400,-1.46%,800,189,34.966B,9.31
MZ8A.SG,"Mizuho Financial Group, Inc.",2.7000,-0.0800,-2.88%,0,0,34.717B,9.31
75CB.F,"China Pacific Insurance (Group) Co., Ltd.",17.90,-0.20,-1.10%,5,0,34.441B,9.84
UZC.F,Axis Bank Limited,53.50,-0.50,-0.93%,42,1,33.848B,27.02
BREC.F,Banco Bradesco S.A.,3.1800,-0.0200,-0.62%,9,53,33.79B,10.26
D7C.F,China CITIC Bank Corporation Limited,0.4600,-0.0040,-0.86%,"1,800",471,32.983B,3.07
UOB.F,United Overseas Bank Limited,19.28,-0.02,-0.10%,75,172,32.581B,10.37
BN9.F,The Bank of New York Mellon Corporation,40.75,+0.15,+0.37%,6,41,32.605B,13.86
UOB0.F,United Overseas Bank Limited,36.60,0.00,0.00%,100,0,32.303B,9.92
75C.F,"China Pacific Insurance (Group) Co., Ltd.",2.3400,-0.2000,-7.87%,169,221,32.3B,6.50
MLU.F,Manulife Financial Corporation,17.45,-0.15,-0.85%,"1,500",44,32.26B,4.93
DB1.DE,Deutsche Börse AG,173.10,+3.85,+2.27%,526.362k,"404,346",32.229B,20.84
DB1.F,Deutsche Börse AG,172.85,+4.05,+2.40%,345,691,32.252B,20.95
M1Z.F,Nu Holdings Ltd.,6.80,+0.14,+2.04%,150,"5,190",31.984B,N/A
M1Z.MU,Nu Holdings Ltd.,6.78,0.00,0.00%,15,264,31.89B,N/A
63DA.F,Deutsche Börse AG,16.70,+0.20,+1.21%,150,38,31.818B,20.12
A4S.F,"Ameriprise Financial, Inc.",296.90,-0.20,-0.07%,10,1,31.153B,16.69
XCA.F,Crédit Agricole S.A.,10.81,+0.01,+0.13%,100,"1,148",32.685B,5.81
XCA.DE,Crédit Agricole S.A.,10.83,-0.01,-0.13%,400,"1,301",32.757B,5.64
