Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
BU3.F,Bunge Limited,85.90,0.00,0.00%,25,39,13.327B,9.27
NY70.F,Molson Coors Beverage Company,60.50,-0.50,-0.82%,90,2,13.298B,N/A
NY7.SG,Molson Coors Beverage Company,60.30,-1.24,-2.01%,0,9,13.172B,N/A
JDE.F,JDE Peet's N.V.,26.90,-0.50,-1.82%,60,164,13.053B,17.13
NY7.F,Molson Coors Beverage Company,60.42,-3.04,-4.79%,12,34,13.148B,N/A
CSC.F,Campbell Soup Company,42.22,+0.01,+0.02%,197,19,12.61B,17.23
CAR.DE,Carrefour SA,16.60,+0.27,+1.68%,"19,169","3,350",12.206B,8.92
BUZ1.F,Bunzl plc,35.69,+0.19,+0.54%,1,17,12.061B,21.50
BUZ.F,Bunzl plc,35.60,-0.60,-1.66%,30,0,12.03B,21.58
CAR.F,Carrefour SA,16.30,-0.11,-0.64%,"2,360",560,11.986B,8.81
CAR1.F,Carrefour SA,3.2000,-0.0200,-0.62%,280,6,11.871B,8.89
62M.F,Metro Inc.,49.35,+0.19,+0.39%,80,7,11.716B,19.05
KIR0.MU,"Kirin Holdings Company, Limited",14.30,0.00,0.00%,1,0,11.609B,17.65
KIR.F,"Kirin Holdings Company, Limited",13.84,-0.07,-0.50%,140,6,11.403B,17.29
5Y2.F,Dino Polska S.A.,104.30,+3.45,+3.42%,30,16,10.658B,36.86
7SN.F,Suntory Beverage & Food Limited,34.60,-0.60,-1.70%,225,3,10.755B,19.12
KIK.F,Kikkoman Corporation,55.00,+0.50,+0.92%,38,8,10.635B,37.67
C0Q.F,Coca-Cola HBC AG,27.42,+0.51,+1.90%,508,400,10.124B,23.84
CCKC.F,Coca-Cola HBC AG,26.80,0.00,0.00%,25,146,9.998B,23.51
QJE.F,Pan Pacific International Holdings Corporation,16.00,0.00,0.00%,248,0,9.824B,21.05
T6W.F,Thai Beverage Public Company Limited,0.3860,0.0000,0.00%,"3,920",915,9.698B,12.87
YKH.F,"Yakult Honsha Co.,Ltd.",59.50,+1.50,+2.59%,30,1,9.577B,28.61
CO3A.F,Coty Inc.,11.13,-0.18,-1.63%,"2,500",330,9.547B,61.84
CO3A.DE,Coty Inc.,11.13,0.00,0.00%,4,"1,022",9.49B,61.82
43D.F,Darling Ingredients Inc.,58.82,+0.10,+0.17%,21,15,9.399B,13.84
BCLM.F,Barry Callebaut AG,17.10,+0.10,+0.59%,250,98,9.372B,22.80
SB7.F,Saputo Inc.,21.11,-0.50,-2.31%,120,8,8.9B,20.10
UFH.F,US Foods Holding Corp.,37.60,-0.40,-1.05%,387,0,8.877B,28.92
PNDA.F,Mowi ASA,15.60,-0.30,-1.89%,315,6,8.284B,9.18
PND.F,Mowi ASA,15.92,+0.07,+0.47%,"1,298","1,840",8.232B,9.36
P5F.F,Performance Food Group Company,51.50,0.00,0.00%,2,0,8.164B,26.41
48I.F,PT Indofood CBP Sukses Makmur Tbk,0.6800,-0.0100,-1.45%,"1,219",183,8.032B,17.00
