26. Jul 2011,Delisted (Notierungsaufnahme),ABIL Holdings Ltd., -kein-,None,None," € 2,20 "," € 11.000.000,00"
26. Jul 2011,Delisted (Notierungsaufnahme),Hudson Oil Corporation Ltd., -kein-,None,None," € 5,30 "," € 649.515.000,00"
21. Jul 2011,Delisted (Notierungsaufnahme),Gold Tang PLC, -kein-,None,None," € 0,61 "," € 3.050.000,00"
15. Jul 2011,Delisted (Notierungsaufnahme),Ban Corp Holdings PLC, -kein-,None,None," € 0,10 "," € 35.100.000,00"
15. Jul 2011,Delisted (Notierungsaufnahme),Technopac International Inc., -kein-,None,None," € 0,50 "," € 5.000.000,00"
15. Jul 2011,Delisted (Notierungsaufnahme),Shan Dong Fu Yang Green Timber AG, -kein-,None,None," € 1,59 "," € 398.500,00"
14. Jul 2011,Delisted (Notierungsaufnahme),Solamon Energy Corp., -kein-,None,None," € 1,10 "," € 6.600.000,00"
13. Jul 2011,Delisted (Notierungsaufnahme),Man Oil Group AG, -kein-,None,None," € 39,50 "," € 62.410.000,00"
11. Jul 2011,Delisted (Notierungsaufnahme),Cuba Development & Investment PLC, -kein-,None,None,None,None
08. Jul 2011,Delisted (Notierungsaufnahme),Mobi International Ventures PLC, -kein-,None,None,None,None
06. Jul 2011,Delisted (Notierungsaufnahme),Arequipa Minerals Ltd., -kein-,None,None," € 0,89 "," € 17.800.000,00"
05. Jul 2011,Delisted (Notierungsaufnahme),Global Capital & Financial Corp., -kein-,None,None," € 0,72 "," € 1.038.797,00"
01. Jul 2011,Delisted (Notierungsaufnahme),Yuxinlong International Ltd., -kein-,None,None," € 2,60 "," € 16.900.000,00"
22. Jun 2011,Delisted (Notierungsaufnahme),Blue Web Mobile Media PLC, -kein-,None,None," € 0,50 "," € 25.500.000,00"
20. Jun 2011,Delisted (Notierungsaufnahme),REXTON Hotel & Property Group Ltd., -kein-,None,None," € 0,40 "," € 2.000.004,00"
17. Jun 2011,Delisted (Notierungsaufnahme),Safari Minerals Inc., -kein-,None,None," € 0,25 "," € 620.643,00"
16. Jun 2011,Delisted (Notierungsaufnahme),EuroGas AG, -kein-,None,None," € 0,15 "," € 562.500,00"
10. Jun 2011,Delisted (Notierungsaufnahme),Texas Oil & Minerals Inc., -kein-,None,None," € 1,15 "," € 11.500.000,00"
10. Jun 2011,Delisted (Notierungsaufnahme),E3A3 International Inc., -kein-,None,None," € 0,20 "," € 1.000.000,00"
10. Jun 2011,Delisted (Notierungsaufnahme),Infinergy Energy PLC, -kein-,None,None," € 4,44 "," € 19.980.000,00"
09. Jun 2011,Delisted (Notierungsaufnahme),CONNEX INVEST PLC, -kein-,None,None," € 0,03 "," € 150.000,00"
09. Jun 2011,Delisted (Notierungsaufnahme),3A Finance PLC, -kein-,None,None," € 1,20 "," € 30.000.000,00"
02. Jun 2011,Delisted (Notierungsaufnahme),Norton Scientific Inc., -kein-,None,None," € 0,95 "," € 5.605.000,00"
02. Jun 2011,Delisted (Notierungsaufnahme),Tornado Air PLC, -kein-,None,None," € 3,12 "," € 62.400.000,00"
01. Jun 2011,Delisted (Notierungsaufnahme),Investment Engine Ltd., -kein-,None,None," € 1,40 "," € 14.000.000,00"
31. Mai 2011,Delisted (Notierungsaufnahme),Asia Euro Oil PLC, -kein-,None,None," € 1,82 "," € 8.190.000,00"
31. Mai 2011,Delisted (Notierungsaufnahme),IPO.GO AG, -kein-,None,None," € 7,50 "," € 11.550.000,00"
27. Mai 2011,Delisted (Notierungsaufnahme),Agrigate Group Ltd., -kein-,None,None," € 0,49 "," € 411.600,00"
27. Mai 2011,Delisted (Notierungsaufnahme),StrackaLine PLC, -kein-,None,None," € 15,70 "," € 15.700.000,00"
26. Mai 2011,Delisted (Notierungsaufnahme),GAS Corporate Jets AG, -kein-,None,None," € 1,19 "," € 4.760.000,00"
26. Mai 2011,Delisted (Notierungsaufnahme),Xelleon PLC, -kein-,None,None," € 0,40 "," € 40.000.000,00"
18. Mai 2011,Delisted (Notierungsaufnahme),Orient Energy & Logistics Holdings Ltd., -kein-,None,None," € 0,30 "," € 1.500.000,00"
13. Mai 2011,Delisted (Notierungsaufnahme),African International Energy PLC, -kein-,None,None," € 0,50 "," € 100.000.000,00"
12. Mai 2011,Delisted (Notierungsaufnahme),Celestial Green Ventures PLC, -kein-,None,None," € 1,04 "," € 62.400.000,00"
